CALL#,TITLE,Title,Permanent Link,Title with Hyperlink,SUBJECT,INDEX/GUIDE,,,INDEX/GUIDE,SERIES
MFF32,Niles Weekly Register,Niles Weekly Register,http://library.tufts.edu:80/record=b1675389~S1,Niles Weekly Register,Soc. Sciences,,,,"Title from caption. ""Containing political, historical, geographical, scientifical, statistical, economical, and biographical documents, essays and facts; together with notices of the art and manufactures, and a record of the events of the times."" Publication suspended from March to June 1848, July-Sept. 14, 1849. Issues for Mar. 5, 1814-Aug. 26, 1837 called also: Whole no. 131-whole no. 1352. Vols. 13-24 called also: New ser., v. 1-12; v. 25-36: 3rd ser., v. 1-12; v. 37-50: 4th ser., v. 1-14; v. 51-73: 5th ser., v. 1-23. Vols. 5, 7-9, 15-16, 23, 38 and 43 contain supplements. Editors: Mar. 1814-Aug. 1836, H. Niles; Sept. 1836-Aug. 1837, W.O. Niles.",Library of American civilization
MFF36,Consumer Reports,Consumer Reports,http://library.tufts.edu:80/record=b1669534~S1,Consumer Reports,General,,,,,
MFF38,"Messenger, The","Messenger, The",http://library.tufts.edu:80/record=b1669861~S1,"Messenger, The",Soc. Sciences,,,,,Black experience in America
MFF39,Geotechnique,Geotechnique,http://library.tufts.edu:80/record=b1671582~S1,Geotechnique,Engineering,,,,,
MFF40,New Society,New Society,http://library.tufts.edu:80/record=b1672416~S1,New Society,Soc. Sciences,,,,,
MFF42,Citizen of Science (Ralph Waldo Gerard),Citizen of Science (Ralph Waldo Gerard),http://library.tufts.edu:80/record=b1182961~S1,Citizen of Science (Ralph Waldo Gerard),Science,,,,"Microfiche.;""Sheet 1 has reproduction of Ralph Waldo Gerard, citizen of science : a guide to the Gerard microfiche collection, 1927-1975, compiled by Roxanne-Louise Nilan (Chicago : University of Chicago, 1976) also issued separately."";""Collected writings",
MFF43,"Geological Society of America Bulletin, Part II","Geological Society of America Bulletin, Part II",http://library.tufts.edu:80/record=b1670062~S1,"Geological Society of America Bulletin, Part II",Science,,,,,
MFF44,Terminal Configured Vehicle Program: Test Facilities Guide,Terminal Configured Vehicle Program: Test Facilities Guide,http://library.tufts.edu:80/record=b1187038~S1,Terminal Configured Vehicle Program: Test Facilities Guide,Science,,,,"Microfiche. Washington : Scientific and Technical Information Branch, NASA. -- 1 sheet 11 x 16cm.","NASA SP   435;""NASA SP   435."""
MFF45,ASI (American Statistics Index),ASI (American Statistics Index),http://library.tufts.edu:80/record=b1670058~S1,ASI (American Statistics Index),General,,,,,
MFF48,Standard Works in the History of Medicine,Standard Works in the History of Medicine,http://library.tufts.edu:80/record=b1210275~S1,Standard Works in the History of Medicine,Health,,,1,"Greek and Latin.;""Vol. 20 contains F.W. Assmann's Index in Galeni libros."";""Accompanied by: Karl Gottlob Kühn and his edition of the works of Galen : a bibliogrpahy / introduced and compiled by Vivian Nutton. (34p. 22cm.) Oxford : Oxford Microform Pub","Medicorum graecorum opera quae exstant   v. 1-20;""Standard works in the history of medicine   v. 1."";""Medicorum graecorum opera quae exstant   v. 1-20."""
MFF49,"Nien Rebellion, The - Xiangze Jiang","Nien Rebellion, The - Xiangze Jiang",http://library.tufts.edu:80/record=b1219103~S1,"Nien Rebellion, The - Xiangze Jiang",Soc. Sciences,,,,"Written ... as a doctoral dissertation at the University of Washington in 1951 ... now presented in its original dissertation form [with the addition of a preface]. ;""Includes index."";""Bibliography: p. 139-142."";""Microfiche. [Seattle] : University of Was","Far Eastern and Russian Institute publications on Asia   no. 2;""Far Eastern and Russian Institute publications on Asia   no. 2."""
MFF50,Monopoly or Choice in Health Services?  (Institute of Economic,Monopoly or Choice in Health Services?  (Institute of Economic,http://library.tufts.edu:80/record=b1219102~S1,Monopoly or Choice in Health Services?  (Institute of Economic,Soc. Sciences,,,,"Microfiche. [Brighton, East Sussex?] : Harvester Press for IEA, [1964?] 1 microfiche 10 x 15cm.;""Title on eye-readable portion of fiche: Monopoly or choice in health services? : A symposium (1964).""","Occasional paper / Institute of Economic Affairs   3;""Occasional paper (Institute of Economic Affairs (Great Britain))   3."""
MFF51,Tenure & Mobility:  Studies in the Social History of the Mediaeval English Village,Tenure & Mobility:  Studies in the Social History of the Mediaeval English Village,http://library.tufts.edu:80/record=b1219028~S1,Tenure & Mobility:  Studies in the Social History of the Mediaeval English Village,Soc. Sciences,,,,"Bibliography: p. [289]-303.;""Microfiche. Toronto : Pontifical Institute of Mediaeval Studies, 1977. 4 microfiches 10 x 15cm.""","Studies and texts / Pontifical Institute of Mediaeval Studies   v. 8;""Studies and texts (Pontifical Institute of Mediaeval Studies)   8."""
MFF52,Le Role de l'Egoisme et de l'Altruisme Dans le Theatre de Paul Claudel,Le Role de l'Egoisme et de l'Altruisme Dans le Theatre de Paul Claudel,http://library.tufts.edu:80/record=b1219104~S1,Le Role de l'Egoisme et de l'Altruisme Dans le Theatre de Paul Claudel,Arts/Humanities,,,,"Bibliography: leaves 422-430.;""Vita."";""Microfiche. Elmsford, N.Y. : Pergamon Press, 1979. 5 microfiches : negative 10 x 15cm.""",
MFF53,Proceedings of the 16th Intersociety Energy Conversion Engineering Conference,Proceedings of the 16th Intersociety Energy Conversion Engineering Conference,http://library.tufts.edu:80/record=b1219105~S1,Proceedings of the 16th Intersociety Energy Conversion Engineering Conference,Engineering,,,,"Includes bibliographical references and indexes.;""Microfiche. [New York, N.Y. American Society of Mechanical Engineers, 1981?] 28 microfiches 10 x 15cm.""",
MFF54,Hesperia,Hesperia,http://library.tufts.edu:80/record=b1669622~S1,Hesperia,Soc. Sciences,,,,,
MFF55,Envirofiche,Envirofiche,http://library.tufts.edu:80/record=b1669970~S1,Envirofiche,Science,,,,,
MFF56,"Historic American Buildings Survey, Massachusetts","Historic American Buildings Survey, Massachusetts",http://library.tufts.edu:80/record=b1215531~S1,"Historic American Buildings Survey, Massachusetts",Arts/Humanities,,,,"Title from eye-readable microfiche caption.;""Photographs and written historical and descriptive data prepared by the Historic American Buildings Survey, Office of Archeology and Historic Preservation, National Park Service."";""Reproduced from photographs l",
MFF57,Journal of Environmental Pathology and Toxicology,Journal of Environmental Pathology and Toxicology,http://library.tufts.edu:80/record=b1671628~S1,Journal of Environmental Pathology and Toxicology,Health,,,,,
MFF58,Advertising Age,Advertising Age,http://library.tufts.edu:80/record=b1669389~S1,Advertising Age,Soc. Sciences,,,,,
MFF59,New Left Review,New Left Review,http://library.tufts.edu:80/record=b1661104~S1,New Left Review,Soc. Sciences,,,,,
MFF62,National Union Catalog - Register of Additional Locations,National Union Catalog - Register of Additional Locations,http://library.tufts.edu:80/record=b1670004~S1,National Union Catalog - Register of Additional Locations,General,,,,,Library of Congress catalogs
MFF65,Search Service Documentation Samples,Search Service Documentation Samples,http://library.tufts.edu:80/record=b1235601~S1,Search Service Documentation Samples,General,,,,,
MFF68,Philomedidae of the Continental Shelf of Eastern North America & the Northern Gulf of Mexico,Philomedidae of the Continental Shelf of Eastern North America & the Northern Gulf of Mexico,http://library.tufts.edu:80/record=b1238837~S1,Philomedidae of the Continental Shelf of Eastern North America & the Northern Gulf of Mexico,Science,,,,"Bibliography: p. 77-78.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1984. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 393;""Smithsonian contributions to zoology   no. 393."""
MFF69,"Biosystematic Studies of Ceylonese Wasps, XII: Behavioral & Life History Notes on Some Sphecidae","Biosystematic Studies of Ceylonese Wasps, XII: Behavioral & Life History Notes on Some Sphecidae",http://library.tufts.edu:80/record=b1343255~S1,"Biosystematic Studies of Ceylonese Wasps, XII: Behavioral & Life History Notes on Some Sphecidae",Science,,,,,Smithsonian contributions to zoology
MFF70,Religious Experience & Journal of Mrs. Jarena Lee,Religious Experience & Journal of Mrs. Jarena Lee,http://library.tufts.edu:80/record=b1238658~S1,Religious Experience & Journal of Mrs. Jarena Lee,Soc. Sciences,,,,"Revised and corrected from the original manuscript written by herself. ;""Published in Philadelphia in 1836, under title: The life and religious experience of Jarena Lee."";"" ATLA F2167. "";""Microfiche. El Segundo, Calif. : Micro Publication Systems, for th",Women and the church in America   167.
MFF71,"Biosystematic Studies of Ceylonese Wasps, XIII: A Monography of the Stizinae","Biosystematic Studies of Ceylonese Wasps, XIII: A Monography of the Stizinae",http://library.tufts.edu:80/record=b1343255~S1,"Biosystematic Studies of Ceylonese Wasps, XIII: A Monography of the Stizinae",Science,,,,,Smithsonian contributions to zoology
MFF72,Myology of the Purple-Throated Carib & Other Hummingbirds,Myology of the Purple-Throated Carib & Other Hummingbirds,http://library.tufts.edu:80/record=b1238772~S1,Myology of the Purple-Throated Carib & Other Hummingbirds,Science,,,,"Bibliography: p. 45-46.;""Includes indexes."";""Microfiche. [Washington] : SUPTDOCS/GPO, 1984. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 385;""Smithsonian contributions to zoology   no. 385."""
MFF73,Fossil Spatangoid Echinoids of Cuba,Fossil Spatangoid Echinoids of Cuba,http://library.tufts.edu:80/record=b1238773~S1,Fossil Spatangoid Echinoids of Cuba,Science,,,,"Bibliography: p. 145-148.;""Includes index."";""Microfiche. [Washington] : SUPTDOCS/GPO, 1984. 4 microfiches 11 x 15 cm.""","Smithsonian contributions to paleobiology   no. 55;""Smithsonian contributions to paleobiology   no. 55."""
MFF74,"Taxonomy & Distribution of the Stomioid Fish GenusEustomias, I: Subgenus Nominostomias","Taxonomy & Distribution of the Stomioid Fish GenusEustomias, I: Subgenus Nominostomias",http://library.tufts.edu:80/record=b1238775~S1,"Taxonomy & Distribution of the Stomioid Fish GenusEustomias, I: Subgenus Nominostomias",Science,,,,"Bibliography: p. 130-132.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 2 microfiches 11 x 15 cm.""","Smithsonian contributions to zoology   no. 380;""Smithsonian contributions to zoology   no. 380."""
MFF75,"Caridean Shrimps of the Albatross Philippine Expedition, The, 1907-1910","Caridean Shrimps of the Albatross Philippine Expedition, The, 1907-1910",http://library.tufts.edu:80/record=b1238774~S1,"Caridean Shrimps of the Albatross Philippine Expedition, The, 1907-1910",Science,,,,"Includes bibliographies.;""pt. 1. Family Stylodactylidae."";""Microfiche. [Washington] : SUPTDOCS/GPO, 1983- microfiches <1> 11 x 15 cm.""","Smithsonian contributions to zoology   no. 381;""Smithsonian contributions to zoology   no. 381."""
MFF76,Cymothoidae from Fishes of Kuwait (Arabian Gulf),Cymothoidae from Fishes of Kuwait (Arabian Gulf),http://library.tufts.edu:80/record=b1238858~S1,Cymothoidae from Fishes of Kuwait (Arabian Gulf),Science,,,,"Bibliography: p. 29-30.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 382;""Smithsonian contributions to zoology   no. 382."""
MFF77,New Species of Dantya from the Indian Ocean,New Species of Dantya from the Indian Ocean,http://library.tufts.edu:80/record=b1239122~S1,New Species of Dantya from the Indian Ocean,Science,,,,"Bibliography: p. 18.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 383;""Smithsonian contributions to zoology   no. 383."""
MFF78,"Atya-like Shrimps of the Indo-Pacific Region, The","Atya-like Shrimps of the Indo-Pacific Region, The",http://library.tufts.edu:80/record=b1238857~S1,"Atya-like Shrimps of the Indo-Pacific Region, The",Science,,,,"Bibliography: p. 48-54.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 384;""Smithsonian contributions to zoology   no. 384."""
MFF79,Comparative Behavioral Biology of Two Middle East Species of Carpenter Bees,Comparative Behavioral Biology of Two Middle East Species of Carpenter Bees,http://library.tufts.edu:80/record=b1238855~S1,Comparative Behavioral Biology of Two Middle East Species of Carpenter Bees,Science,,,,"Bibliography: p. 26-27.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 369;""Smithsonian contributions to zoology   no. 369."""
MFF80,Prodromus of the Fossil Avifauna of the Hawaiian Islands,Prodromus of the Fossil Avifauna of the Hawaiian Islands,http://library.tufts.edu:80/record=b1239209~S1,Prodromus of the Fossil Avifauna of the Hawaiian Islands,Science,,,,"Bibliography: p. 54-59.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1982. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 365;""Smithsonian contributions to zoology   no. 365."""
MFF81,"Palemonid Shrimps from the Amazon Basin, Brazil","Palemonid Shrimps from the Amazon Basin, Brazil",http://library.tufts.edu:80/record=b1239208~S1,"Palemonid Shrimps from the Amazon Basin, Brazil",Science,,,,"Bibliography: p. 28.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1982. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 362;""Smithsonian contributions to zoology   no. 362."""
MFF82,Rutidermatidae of the Continental Shelf of Southeastern North America & the Gulf Of Mexico,Rutidermatidae of the Continental Shelf of Southeastern North America & the Gulf Of Mexico,http://library.tufts.edu:80/record=b1239207~S1,Rutidermatidae of the Continental Shelf of Southeastern North America & the Gulf Of Mexico,Science,,,,"Bibliography: p. 86.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 371;""Smithsonian contributions to zoology   no. 371."""
MFF83,"Biosystematic Studies of Ceylonese Wasps, XI","Biosystematic Studies of Ceylonese Wasps, XI",http://library.tufts.edu:80/record=b1343255~S1,"Biosystematic Studies of Ceylonese Wasps, XI",Science,,,,,Smithsonian contributions to zoology
MFF84,"Phylogenetic Relationships of the Families Curimatidae, Prochilodontidae, Anostomidae, & Chilodontidae","Phylogenetic Relationships of the Families Curimatidae, Prochilodontidae, Anostomidae, & Chilodontidae",http://library.tufts.edu:80/record=b1239197~S1,"Phylogenetic Relationships of the Families Curimatidae, Prochilodontidae, Anostomidae, & Chilodontidae",Science,,,,"Bibliography: p. 58-60.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 378;""Smithsonian contributions to zoology   no. 378."""
MFF85,Aerodynamic Characteristics of Atmospheric Boundary Layers,Aerodynamic Characteristics of Atmospheric Boundary Layers,http://library.tufts.edu:80/record=b1239205~S1,Aerodynamic Characteristics of Atmospheric Boundary Layers,Science,,,,"TID-25465. ;""Includes bibliographical references and indexes."";""Microfiche. Springfield, Va. : U.S. Department of Commerce, National Technical Information Service, 1971. 3 microfiches 11 x 15 cm.""","AEC critical review series;""AEC critical review series."""
MFF86,Revision of the Clearwing Moth Genus Osminia,Revision of the Clearwing Moth Genus Osminia,http://library.tufts.edu:80/record=b1239195~S1,Revision of the Clearwing Moth Genus Osminia,Science,,,,"Bibliography: p. 11.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 361;""Smithsonian contributions to zoology   no. 361."""
MFF87,"Ostracode Family Cypridinidae, The, & the Genus Pterocypridina","Ostracode Family Cypridinidae, The, & the Genus Pterocypridina",http://library.tufts.edu:80/record=b1239193~S1,"Ostracode Family Cypridinidae, The, & the Genus Pterocypridina",Science,,,,"Bibliography: p. 21.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 379;""Smithsonian contributions to zoology   no. 379."""
MFF88,Plains Indian Studies: A Collection of Essays in Honor of John C. Ewers & Waldo R. Wedel,Plains Indian Studies: A Collection of Essays in Honor of John C. Ewers & Waldo R. Wedel,http://library.tufts.edu:80/record=b1239192~S1,Plains Indian Studies: A Collection of Essays in Honor of John C. Ewers & Waldo R. Wedel,Soc. Sciences,,,,"Includes bibliographies.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1982. 3 microfiches 11 x 15 cm.""","Smithsonian contributions to anthropology   no. 30;""Smithsonian contributions to anthropology   no. 30."""
MFF89,Revision of Foxiphalus & Eobrolgus from American Oceans,Revision of Foxiphalus & Eobrolgus from American Oceans,http://library.tufts.edu:80/record=b1239191~S1,Revision of Foxiphalus & Eobrolgus from American Oceans,Science,,,,"Bibliography: p. 35.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1982. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 372;""Smithsonian contributions to zoology   no. 372."""
MFF90,"Shallow-water Pycnogonida from the Izu Peninsula, Japan","Shallow-water Pycnogonida from the Izu Peninsula, Japan",http://library.tufts.edu:80/record=b1239132~S1,"Shallow-water Pycnogonida from the Izu Peninsula, Japan",Science,,,,"Bibliography: p. 69-71.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 386;""Smithsonian contributions to zoology   no. 386."""
MFF91,"Tyson Belos, New Genus & Species of Western Pacific Fish","Tyson Belos, New Genus & Species of Western Pacific Fish",http://library.tufts.edu:80/record=b1239131~S1,"Tyson Belos, New Genus & Species of Western Pacific Fish",Science,,,,"Bibliography: p. 39-40.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1983. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 390;""Smithsonian contributions to zoology   no. 390."""
MFF92,"Revision of Styraconyx w/ Descriptions of 2 New Species from Disko Bay, West Greenland","Revision of Styraconyx w/ Descriptions of 2 New Species from Disko Bay, West Greenland",http://library.tufts.edu:80/record=b1239130~S1,"Revision of Styraconyx w/ Descriptions of 2 New Species from Disko Bay, West Greenland",Science,,,,"Bibliography: p. 28-30.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1984. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 391;""Smithsonian contributions to zoology   no. 391."""
MFF93,Benthic Marine Cypridinoidea from Bermuda,Benthic Marine Cypridinoidea from Bermuda,http://library.tufts.edu:80/record=b1239129~S1,Benthic Marine Cypridinoidea from Bermuda,Science,,,,"Bibliography: p. 15.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1981. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 331;""Smithsonian contributions to zoology   no. 331."""
MFF94,"Social Organization of Tigers (Panthera Tigris) in Royal Chitawan National Park, Nepal, The","Social Organization of Tigers (Panthera Tigris) in Royal Chitawan National Park, Nepal, The",http://library.tufts.edu:80/record=b1239190~S1,"Social Organization of Tigers (Panthera Tigris) in Royal Chitawan National Park, Nepal, The",Science,,,,"Bibliography: p. 92-98.;""Microfiche. [Washington] : SUPTDOCS/GPO, 1981. 2 microfiches 11 x 15 cm.""","Smithsonian contributions to zoology   no. 336;""Smithsonian contributions to zoology   no. 336."""
MFF95,"Biosystematic Studies of Ceylonese Wasps, VIII","Biosystematic Studies of Ceylonese Wasps, VIII",http://library.tufts.edu:80/record=b1343255~S1,"Biosystematic Studies of Ceylonese Wasps, VIII",Science,,,,,Smithsonian contributions to zoology
MFF96,"Comparative Study of the Appendicular Musculature of Penguins, A","Comparative Study of the Appendicular Musculature of Penguins, A",http://library.tufts.edu:80/record=b1239189~S1,"Comparative Study of the Appendicular Musculature of Penguins, A",Science,,,,"Bibliography: p. 31.;""Includes index."";""Microfiche. [Washington] : SUPTDOCS/GPO, 1982. 1 microfiche 11 x 15 cm.""","Smithsonian contributions to zoology   no. 341;""Smithsonian contributions to zoology   no. 341."""
