FileName,"Error","NameError","TemplateField.Name","DocumentField.Name","RegonitionTypeError","TemplateField.RecognitionFieldType","DocumentField.RecognitionFieldType","FormFieldGroupError","TemplateField.FormFieldGroup","DocumentField.FormFieldGroup","LabelAreaError","TemplateField.LabelArea","DocumentField.LabelArea","LabelTextError","TemplateField.LabelText","DocumentField.LabelText","DataAreaError","TemplateField.DataArea","DocumentField.DataArea","DataTextError","TemplateField.DataText","DocumentField.DataText","DocumentField.Validation"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\39538175.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1425,Y=1172,Width=136,Height=66}","{X=1430,Y=1177,Width=117,Height=53}","DIFF","INVOICE
 NUMBER","INVOICE NUMBER","DIFF","{X=1694,Y=1196,Width=193,Height=50}","{X=1705,Y=1215,Width=166,Height=29}","DIFF","~NUMBER","~27245K","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\120423944.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1699,Y=612,Width=107,Height=63}","{X=1709,Y=628,Width=92,Height=30}","","PO#:","PO#:","DIFF","{X=1817,Y=621,Width=213,Height=41}","{X=0,Y=0,Width=0,Height=0}","","~","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\120423944.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1633,Y=555,Width=173,Height=54}","{X=1650,Y=569,Width=150,Height=31}","","Invoice:","Invoice:","DIFF","{X=1801,Y=543,Width=225,Height=62}","{X=1820,Y=569,Width=201,Height=31}","DIFF","~ I-047-00180","~I-047-00180","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\120423944.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1697,Y=685,Width=97,Height=31}","{X=1703,Y=687,Width=97,Height=31}","","Date:","Date:","DIFF","{X=1814,Y=683,Width=188,Height=38}","{X=1820,Y=687,Width=188,Height=37}","","~5/8/2012","~05/08/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\120423944.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=1432,Y=1244,Width=126,Height=30}","{X=1434,Y=1245,Width=126,Height=30}","","Totals:","Totals:","DIFF","{X=1590,Y=1243,Width=90,Height=31}","{X=1592,Y=1245,Width=90,Height=30}","","~43.35","~43.35","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\120423944.tif","Error template/document field mis-matched","ERROR","Invoice Date","Received Date","","Date","Date","DIFF","CustomerFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=1546,Y=1430,Width=235,Height=40}","{X=1547,Y=1434,Width=235,Height=38}","","Date Signed:","Date Signed:","DIFF","{X=1813,Y=1430,Width=187,Height=38}","{X=1814,Y=1434,Width=187,Height=37}","","~05/08/2012","~05/08/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\132164600.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1711,Y=572,Width=156,Height=37}","{X=1714,Y=572,Width=151,Height=30}","","Invoice:","Invoice:","DIFF","{X=1870,Y=559,Width=217,Height=46}","{X=1885,Y=572,Width=200,Height=31}","","~I-047-00196","~I-047-00196","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\132164600.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","","{X=1768,Y=692,Width=97,Height=29}","{X=1768,Y=692,Width=97,Height=29}","","Date:","Date:","","{X=1885,Y=691,Width=187,Height=36}","{X=1885,Y=691,Width=187,Height=36}","","~5/9/2012","~05/09/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\132164600.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","","{X=1499,Y=1248,Width=126,Height=30}","{X=1499,Y=1248,Width=126,Height=30}","","Totals:","Totals:","","{X=1656,Y=1248,Width=92,Height=31}","{X=1656,Y=1248,Width=92,Height=31}","","~49.30","~49.30","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\132164600.tif","Error template/document field mis-matched","ERROR","Invoice Date","Received Date","","Date","Date","DIFF","CustomerFormFieldGroup","SummaryFormFieldGroup","","{X=1612,Y=1438,Width=235,Height=37}","{X=1612,Y=1438,Width=235,Height=37}","","Data Signed:","Data Signed:","","{X=1879,Y=1438,Width=187,Height=37}","{X=1879,Y=1438,Width=187,Height=37}","","~05/09/2012","~05/09/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\132164600.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1768,Y=629,Width=107,Height=46}","{X=1772,Y=632,Width=93,Height=30}","","PO#:","PO#:","DIFF","{X=1886,Y=629,Width=185,Height=38}","{X=0,Y=0,Width=0,Height=0}","","~","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\156591140.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1768,Y=584,Width=115,Height=62}","{X=1782,Y=597,Width=92,Height=30}","","PO#:","PO#:","DIFF","{X=1899,Y=584,Width=205,Height=50}","{X=0,Y=0,Width=0,Height=0}","","~","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\156591140.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1711,Y=523,Width=176,Height=62}","{X=1724,Y=537,Width=150,Height=31}","","Invoice:","Invoice:","DIFF","{X=1890,Y=535,Width=210,Height=34}","{X=1894,Y=537,Width=199,Height=31}","","~I-520-00021","~I-520-00021","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\156591140.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","","{X=1466,Y=1214,Width=126,Height=31}","{X=1466,Y=1214,Width=126,Height=31}","","Totals:","Totals:","","{X=1628,Y=1214,Width=92,Height=30}","{X=1628,Y=1214,Width=92,Height=30}","","~31.50","~31.50","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\156591140.tif","Error template/document field mis-matched","ERROR","Invoice Date","Received Date","","Date","Date","DIFF","CustomerFormFieldGroup","SummaryFormFieldGroup","","{X=1620,Y=1585,Width=235,Height=37}","{X=1620,Y=1585,Width=235,Height=37}","","Date Signed:","Date Signed:","","{X=1887,Y=1585,Width=187,Height=37}","{X=1887,Y=1585,Width=187,Height=37}","","~5/8/2012","~05/08/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\156591140.tif","","","Invoice Date","Invoice Date","DIFF","GeneralText","Date","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1760,Y=649,Width=119,Height=46}","{X=1777,Y=657,Width=97,Height=30}","","Data:","Data:","DIFF","{X=1890,Y=645,Width=197,Height=58}","{X=1894,Y=655,Width=187,Height=37}","DIFF","~05/08/2012","~05/08/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\269552921.tif","Field Error","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=175,Y=985,Width=348,Height=39}","{X=178,Y=979,Width=348,Height=40}","","Rental Agreement No:","Rental Agreement No:","ERROR EMPTY","{X=549,Y=987,Width=160,Height=30}","{X=1406,Y=987,Width=82,Height=29}","DIFF","~A92922373","~Plan:","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\269552921.tif","Error template/document field mis-matched","ERROR","Total Due","Amount","","Currency","Currency","","UnknownFormFieldGroup","UnknownFormFieldGroup","DIFF","{X=1319,Y=1714,Width=173,Height=30}","{X=1318,Y=1714,Width=102,Height=30}","DIFF","AMOUNT OUE","AMOUNT","DIFF","{X=2019,Y=1701,Width=225,Height=62}","{X=0,Y=0,Width=0,Height=0}","ERROR","~59.34 USD","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\269552921.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=1327,Y=2944,Width=181,Height=29}","{X=1320,Y=2944,Width=181,Height=29}","DIFF","MOUNT DUE :","MOUNT DUE:","DIFF","{X=2019,Y=2926,Width=204,Height=50}","{X=2039,Y=2943,Width=82,Height=28}","DIFF","~59.34 USD","~59.34","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\269552921.tif","ERROR no document field","","Invoice Date","","","GeneralText","GeneralText","","CustomerFormFieldGroup","UnknownFormFieldGroup","","{X=1469,Y=183,Width=331,Height=42}","{X=0,Y=0,Width=0,Height=0}","","Involce Date:","","","{X=1966,Y=179,Width=249,Height=46}","{X=0,Y=0,Width=0,Height=0}","","~4/6/2012","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\269552921.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","CustomerFormFieldGroup","UnknownFormFieldGroup","","{X=1474,Y=149,Width=451,Height=33}","{X=0,Y=0,Width=0,Height=0}","","Rental Agreement No:","","","{X=1976,Y=151,Width=201,Height=32}","{X=0,Y=0,Width=0,Height=0}","","~A92922373","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\326757369.tif","","","Purchase Order","Purchase Order","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1805,Y=532,Width=176,Height=20}","{X=1795,Y=526,Width=176,Height=21}","","P.O. NUMBER","P.O. NUMBER","DIFF","{X=1785,Y=587,Width=155,Height=30}","{X=1776,Y=582,Width=155,Height=30}","","~343575","~343575","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\326757369.tif","Field Error","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=131,Y=685,Width=126,Height=20}","{X=124,Y=693,Width=124,Height=20}","DIFF","INVOICE #","ENVOICE #","ERROR EMPTY","{X=130,Y=765,Width=213,Height=54}","{X=339,Y=691,Width=143,Height=21}","DIFF","~35473481","~MAIL COPM","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\326757369.tif","Error template/document field mis-matched","ERROR","Order Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=2085,Y=686,Width=211,Height=21}","{X=2077,Y=678,Width=210,Height=21}","","DATE ORDERED","DATE ORDERED","DIFF","{X=2030,Y=729,Width=259,Height=41}","{X=2022,Y=722,Width=259,Height=40}","","~05/15/2012","~05/15/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\326757369.tif","Error template/document field mis-matched","ERROR","Unknown","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1160,Y=682,Width=189,Height=25}","{X=1159,Y=686,Width=176,Height=23}","","R/O NUMBER","R/O NUMBER","ERROR EMPTY","{X=1180,Y=750,Width=185,Height=49}","{X=1514,Y=682,Width=158,Height=21}","DIFF","~","~TRUCK IJNE","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\326757369.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=1799,Y=2487,Width=160,Height=42}","{X=0,Y=0,Width=0,Height=0}","","TOTAL","","","{X=2121,Y=2495,Width=200,Height=54}","{X=0,Y=0,Width=0,Height=0}","","~750.00","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\472295976.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1917,Y=68,Width=301,Height=30}","{X=1903,Y=62,Width=301,Height=31}","DIFF","Invoice Number","IInvoice Number","DIFF","{X=2364,Y=63,Width=123,Height=28}","{X=2350,Y=52,Width=123,Height=29}","DIFF","~261862","~261862)","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\472295976.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1567,Y=152,Width=94,Height=23}","{X=1554,Y=149,Width=94,Height=22}","","Date:","Date:","DIFF","{X=1679,Y=151,Width=198,Height=26}","{X=1666,Y=145,Width=198,Height=27}","","~5/17/2012","~05/17/2012","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\472295976.tif","Field Error","","Purchase Order","Purchase Order","","GeneralText","GeneralText","DIFF","UnknownFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=456,Y=1180,Width=90,Height=42}","{X=461,Y=1192,Width=71,Height=24}","","PO#:","PO#:","DIFF","{X=558,Y=1184,Width=119,Height=34}","{X=0,Y=0,Width=0,Height=0}","ERROR","~339918","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\472295976.tif","ERROR no document field","","Total Due","","","GeneralText","GeneralText","","UnknownFormFieldGroup","UnknownFormFieldGroup","","{X=1787,Y=1335,Width=237,Height=38}","{X=0,Y=0,Width=0,Height=0}","","Charge Sale","","","{X=2108,Y=1327,Width=119,Height=42}","{X=0,Y=0,Width=0,Height=0}","","~20.69","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\474470942.tif","ERROR no document field","","Invoice Number","","","GeneralText","GeneralText","","CustomerFormFieldGroup","UnknownFormFieldGroup","","{X=1905,Y=440,Width=347,Height=53}","{X=0,Y=0,Width=0,Height=0}","","Work Order No.","","","{X=1994,Y=492,Width=193,Height=46}","{X=0,Y=0,Width=0,Height=0}","","~38031","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\474470942.tif","Field Error","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=697,Y=2906,Width=279,Height=21}","{X=704,Y=2908,Width=279,Height=22}","","Total Revised Estimate","Total Revised Estimate","DIFF","{X=720,Y=2955,Width=482,Height=74}","{X=0,Y=0,Width=0,Height=0}","ERROR","~4","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\493833720.tif","Error template/document field mis-matched","ERROR","Customer Phone","Purchase Order","DIFF","UnitedStatesPhoneNumber","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=631,Y=1601,Width=107,Height=23}","{X=630,Y=1607,Width=107,Height=46}","DIFF","BlL NO.","ßlL NO.","DIFF","{X=702,Y=1652,Width=349,Height=35}","{X=702,Y=1655,Width=349,Height=36}","DIFF","~(703) 404-4386","~(703)404-4386","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\493833720.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1125,Y=1189,Width=202,Height=23}","{X=1121,Y=1189,Width=202,Height=23}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1144,Y=1235,Width=244,Height=30}","{X=1140,Y=1234,Width=244,Height=31}","","~5/17/2012","~17 MAY 12","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\493833720.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1462,Y=1196,Width=127,Height=67}","{X=1455,Y=1196,Width=118,Height=53}","DIFF","INVOICE 
NUMBER","INVOICE NUMBER","DIFF","{X=1707,Y=1213,Width=213,Height=62}","{X=1730,Y=1227,Width=578,Height=34}","DIFF","~228895
","~228895 08:06","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\493833720.tif","ERROR no document field","","Total Due","","","Currency","GeneralText","","SummaryFormFieldGroup","UnknownFormFieldGroup","","{X=1420,Y=3002,Width=124,Height=30}","{X=0,Y=0,Width=0,Height=0}","","TOTAE","","","{X=1878,Y=3001,Width=161,Height=33}","{X=0,Y=0,Width=0,Height=0}","","~$23.49","~","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\609026254.tif","","","Total Due","Total Due","","Currency","Currency","","SummaryFormFieldGroup","SummaryFormFieldGroup","DIFF","{X=1413,Y=3001,Width=122,Height=28}","{X=1407,Y=3001,Width=122,Height=28}","","TOTAL","TOTAL","DIFF","{X=1872,Y=3001,Width=160,Height=35}","{X=1866,Y=3003,Width=160,Height=35}","","~$30.19","~$30.19","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\609026254.tif","","","Invoice Date","Invoice Date","","Date","Date","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1114,Y=1189,Width=202,Height=23}","{X=1115,Y=1188,Width=202,Height=23}","","INVOICE DATE","INVOICE DATE","DIFF","{X=1133,Y=1235,Width=243,Height=30}","{X=1134,Y=1235,Width=243,Height=29}","","~5/14/2012","~14 MAY 12","Unvalidated"
"C:\DevelopPF\Data\Forms\1BPPIndexed\English-US\Invoices\Carmax\2012\Original\609026254.tif","","","Invoice Number","Invoice Number","","GeneralText","GeneralText","","CustomerFormFieldGroup","CustomerFormFieldGroup","DIFF","{X=1448,Y=1192,Width=130,Height=68}","{X=1450,Y=1199,Width=117,Height=52}","DIFF","INVOICE 
NUMBER","INVOICE NUMBER","DIFF","{X=1718,Y=1225,Width=155,Height=46}","{X=1725,Y=1237,Width=133,Height=29}","","~68091","~68091","Unvalidated"
